+------------+-----------------+----------------+
| b1         | b2              | sum_num_curves |
+------------+-----------------+----------------+
|     250000 |        25000000 |        3829660 |
|      50000 |         5000000 |        3655642 |
|    1000000 |       100000000 |         504342 |
|    3000000 |       300000000 |         486270 |
|   11000000 |      1100000000 |         209350 |
|    1000000 |         1000000 |         137799 |
|    1000000 |        10000000 |         106007 |
|   11000000 |     36578884662 |          43200 |
|  110000000 |     11000000000 |          31768 |
|   11000000 |     30114149530 |          21351 |
|      50000 |           50000 |          15349 |
|    3000000 |         3000000 |          10600 |
|     500000 |          500000 |          10000 |
|      50000 |        14400000 |           9540 |
|   43000000 |    198654756318 |           5000 |
|  160000000 |   1288647750406 |           3696 |
|  113000000 |     11300000000 |           3300 |
|   44000000 |      4400000000 |           2888 |
|    3000000 |      4592487916 |           2756 |
|      50000 |         6750000 |           2735 |
|  111000000 |     11100000000 |           2720 |
|   48000000 |    297984687018 |           2646 |
|  110000000 |       110000000 |           2630 |
|  107000000 |     10700000000 |           2600 |
|  110000000 |    776278396540 |           2420 |
|   48000000 |    279380917212 |           2097 |
|     445657 |        50000000 |           1984 |
|      50000 |        50000000 |           1979 |
|  800000000 |     80000000000 |           1942 |
|  109000000 |     10900000000 |           1900 |
|  110000000 |   1000000000000 |           1826 |
|      76620 |        24176890 |           1515 |
|      76620 |        10000000 |           1445 |
|        120 |        50000000 |           1150 |
|      60000 |         6000000 |           1103 |
|      50000 |        11760000 |           1080 |
|   23000000 |        23000000 |           1000 |
|   23000000 |     81050459506 |           1000 |
|   44000000 |        44000000 |           1000 |
|    3000000 |      1000000000 |           1000 |
|   41000000 |      4100000000 |            900 |
|   48000000 |    251426235076 |            847 |
|      50000 |         6800000 |            775 |
|      76620 |        23259610 |            645 |
|  260000000 |     26000000000 |            603 |
|     250000 |        30000000 |            600 |
|   42000000 |      4200000000 |            600 |
|   43000000 |      4300000000 |            600 |
|   48000000 |    298483725556 |            584 |
|      50000 |         6350000 |            539 |
|   44000000 |    100000000000 |            500 |
|   11000000 |    100000000000 |            500 |
|   11000000 |        11000000 |            500 |
|   44000000 |    223505479902 |            455 |
|  190000000 |   2383889958466 |            434 |
|      80000 |         8000000 |            432 |
|     250000 |        32616915 |            427 |
|     250000 |        30050537 |            427 |
|  260000000 |  10000000000000 |            422 |
|     250000 |        38357144 |            420 |
|     250000 |        30419426 |            420 |
|      65000 |         5000000 |            420 |
|     250000 |        38141102 |            420 |
|     250000 |        38123960 |            420 |
|     250000 |        38317896 |            420 |
|     250000 |        37170685 |            416 |
|      50000 |         4750000 |            406 |
|      76620 |        26954350 |            406 |
|     250000 |        38104631 |            400 |
|     250000 |        38172094 |            400 |
|     250000 |        38075084 |            400 |
|     250000 |        38750000 |            392 |
|      50000 |         6450000 |            356 |
|     250000 |        38299066 |            350 |
|     250000 |        38060828 |            350 |
|  260000000 |       260000000 |            350 |
|     250000 |        38253153 |            350 |
|      50000 |        13428460 |            350 |
|      50000 |        13775590 |            350 |
|      74000 |         7400000 |            319 |
|  999999999 |     99999999900 |            309 |
|    6000000 |       600000000 |            300 |
|      50000 |         6650000 |            251 |
|      49000 |         4900000 |            250 |
|      47000 |         4700000 |            238 |
|      50000 |         4550000 |            234 |
|     100000 |        14200000 |            224 |
|      50000 |         6700000 |            210 |
|      51000 |         5100000 |            210 |
|      50000 |         5100000 |            200 |
|      65000 |         6500000 |            200 |
|     199900 |        19990000 |            200 |
