METHOD=ECM; PARAM=3; SIGMA=1719562504; B1=44000000; N=(2^5903-1)/5739843952029781891776076257968005017555159188445857307935629699893975115559509148055330481835272461192500743279; X=0x2310d4790557ca04b054ead2848077776169339a814522019115ee60613ca18df85d9d935e08c61e5908ce3fc8b98b02f9e0b085cc313016d1e38afe6dd3b6c01a6c7f27823308b5f4b593ff6fd1b3001b1a00f4c55bce5cd86c78de3f93288f3ff0df73b25c2ed96efb2424e462dc363dbb16fc9f73c005a3675f1807d705a04e53be29275b33324d3ddee44989011533412febff2b7fd7f7751705904e884e27a97bb1121234fe72b597be6d9d879a467582e1139c615e96e9718666fa252b394dc5bc9ea98616cff0c0d2a776769d3b5e8e7a001de2fcf804d84ccd9406a28527cbc5d034c4996c94a98c4af2e97601e06be7e577b2c1dfe63830474d01e4382f2a18c5f5b4a5eda6f9c68268e7f3c22cd093f85bb81c275359d01434033559c3e15e278201c22b4ac999ee3761bff7e0325f697d2eeecaae4be592295b58d423308bb96576ec642e4c3dabb72a56297362790d3c4dec7b203fe93eda6d72593b805f96f6c27c03c9ed714f9705d41aa72b6c7dd208a2e94e1d2fc4699eb1a153993f5056089da9f9a32bfdbf1208be37677ae4e703ff075e933cc7df230dbd80354d00ed685ae1ce3ebf6e09c75295cad32a8fb35eab78fc26410b481a808320e880f0fb7dcbe2aaf32ef784b01cba9b6230e952b4799ebe12c8b6e45cd2098c5fd7b1013778089ad0780525c7ec2840e6e63c4c2d7b896f1460fdf2a9dd5334b4017591bd011111d4ad80a0d1617a6434d87da4a97dc86c2ec9c2d207a5f4eafae77b6cd1a5ac51910ba02fd9f22f0bf3cb507f830c89371c26329449189eda9b1c059970f5a7069f2bc72902d7b3fb978fb78eb13b0bb8366dbebc6fe67e2c2ad34cefd05c554cfa90758665af9eacc11aaefd3ae74903652fd78fc49c6fc90a4f2895670beafa32a5b0f10459e1c036348bd473cd540f76f8e444ff9393a884e2e6a71fcb5febdd44867a77458241d04; CHECKSUM=2807304420; PROGRAM=GMP-ECM 7.0.5-dev; X0=0x0; Y0=0x0; WHO=five@five; TIME=Sat Sep 11 19:29:58 2021;
METHOD=ECM; PARAM=3; SIGMA=1719562503; B1=44000000; N=(2^5903-1)/5739843952029781891776076257968005017555159188445857307935629699893975115559509148055330481835272461192500743279; X=0x43509b85d15ab21063b444dde50184b35bab5cf4b812656259c79a766b405869cf9ff2ab6da494d54e27a14ba35b725a5217901a016ef80638d56eeb647ff05491789fcb44cddce1327ded418d81460952971a0a01ce561b2b8383ae325a652fd25d92a86859bbae84bf442a7b831d51d1efc46495ddc8f8bd5d375ef22e13b72ff39c5fbff8ae51ed44dd0ed5f65b9bcd2e9c850547985458efdb25651631145ac772ee6c0649815e875e6a6b97f6d2db73652944d37268e61690825f93ad1678d1c9f475c7218453db3ce84750cbc5d42488c3e1b25f73b414fb4bb118a69e790e72387384b5f43b150e1642243fd2d0e3f7ff53426c03c344276fea3676a8c1f7add9e9c8f30b012374d3bd5ec91b037e31a866acebb5b5f97a74d2e00334ad64deaab9826acfe24951a08fc55354e3cb1c41047dd325049182d5bcffad47e454a1aadcc74d495aa0ba3403c8a38c8c73cccfe3b339f5b56079334804125fbe9d8c73a8c242a74b0aa8a2b82a412167e7fb5139f7bdfd9a46facd2707cb6777352a3b7428584256c385eb7e3df5f4fa8ad669ed16af15b4b0b230865496f4da088f58ad4912c4803e8d231dd6546d950f58ea41a4436044dc95809e63c639a0cfc10e56c861c213d91b66e0e0930773b7eb9788b3ee4be74a7b2232ce998e4ed2598de6798b1b6bbee9138f55f724188230c48280c143d12d4dd45a564a9f607cd754329dbc564dac103162685c9221e2c8ea9385cad6ca4139a93d67e3807d88ec82e4758a9152fa97def7c8fbc5f23847180b1f0defe7456f2c532bb8563ad762e6c8fbd25ef3f0afabecc52f2a8b4218ed84c04680273dcfc560b9fcd5defaeff77f3ce18bf90c786dd075a2ee55760b2751decfdaafd38fe5f426d8370f4fe8c7dcf680aecd84b9451ff6ec1098043af73b606945672ef2bea36a84f027aeaf8da1fd9f6194fe65c803af09c847b9cb3; CHECKSUM=455848801; PROGRAM=GMP-ECM 7.0.5-dev; X0=0x0; Y0=0x0; WHO=five@five; TIME=Sat Sep 11 19:29:58 2021;
METHOD=ECM; PARAM=3; SIGMA=1719562502; B1=44000000; N=(2^5903-1)/5739843952029781891776076257968005017555159188445857307935629699893975115559509148055330481835272461192500743279; X=0x7ed3144e88964ec93193ad09bf67dd255eca0365ec62a32d6312af7567337b8dec8f6283785c762f1d94e9269e9e8b60761a030677966637e9238bbd120f44ad807d2dcbfa19b22e021f406577c035e94a732eecfedab212cd0709b3efca0757262fae18de8176ec16b1bba9e7de848056b5062c3744fec6136d5590454efda6d76e594f4584bf64ebc6f8a10822081bcd6ba7268243e9c39d72b31c5923746b5b115c5e271db43563729ea6dabd36faa9772726b5670d2c0de0bf613b1f8156c3e07d73577e575d43cb4dc34203790fe31755527636f56730c23d8ca54eafa1be0212a221dd688c8e8a7d379b7c62fda4a5b89df772e158e39c7dab71181a67122210e5ac02dc674403c01d891be0348efa178917aa2f49f35c6ab0317d0bbea204058df92987189edb116152d676940f58b08d206ed6b14253835fd3e3bfd9ba3b6ecd99a4869e924b18072d5874ef47f2b58c54c238a0dcd706b2b7979ee27f7e3fba44b9af899f7918ffc92abb6b9dd7ad1806fcec1d9b7a6e502ae5674fbe28ca6053c916f50b0dab72ef1511e4093e2b6020e78da1a70767593ffdadbee8dd12a7097e94217df75b3349fe29d08b7040608ebac950a63e490e3543e0c2b6d3d3e1f4d08b981d5a9af29c9b81bb3f2ac6351b9aade312b4fff437445ed4300590201b006f9dd6d707a85b3a90c252f310878e52d5fb08d6d28292a127821988213ca65ba915c13d85252a1be3e80eae7f3eb45deda997321f36f2bb47d575f59ef07c05e52be4bc3cd741c6a932c8eabc4c691331945d44125552eaf87ed3da1f41bb25bdd51f78a6c37a94cd5b4a77ee0027b2cfddb3b20563129eb02fce2d6d4645bc947edebdd01177f21cddd8553cf85aeda8341c63d4f49557651e70da2ee87fd556769d297646dd4249bbd7c2705a00ca9e08bb0c6e389ec055b6f00059d93e86d07c934d5528925078d46990c94; CHECKSUM=3233531373; PROGRAM=GMP-ECM 7.0.5-dev; X0=0x0; Y0=0x0; WHO=five@five; TIME=Sat Sep 11 19:29:58 2021;
METHOD=ECM; PARAM=3; SIGMA=1719562501; B1=44000000; N=(2^5903-1)/5739843952029781891776076257968005017555159188445857307935629699893975115559509148055330481835272461192500743279; X=0xaed562a235b25fcb0e0226b7f748e93d3d1a7050c8744933094ee5f53f062e90ea13107959d99e94eae38b5d1ea5cd7940b26a1dbe9a6ef923bb8f582b225f1ef19ca3135870faf6efd2c2e85934174037dec863092e26cbac8dc900df4c7a50fc4f914ba7e9a153dabe40ac1b5ae34f63647b688e2c9ecfceb5d444e6d8c2e579a3db77778eedf76c0eb90b61deedbab46643e9d5b9445ae196ea5d44d3d21422275d176016a1b194d2852bd0484a613e26e8e2c3b1a32e1797fdd4ecbf319e343008723bcc2ab664e1da1a03442e9f4217b897387b70b79641e5d66cdd02cd1ec9ee1839d0bed4f74c72dd145f60cb136f3ad0c47b08fdd34a54c4df24dd05dc4e6804e3c9c357a3e3fb08e2a9e3a8c2c6301ba47408a1c05ed88b4f53446f0ba4bd4c4a3fe7d63a1b28502974d330633d77ffc8fc01aa47e0d6b5bc0aa030547fa01ac14f3dfcde5f5d3da62ef55912d902840dd32a07a6e44238a39d966d6e5f5f9da8806d2e391ebfc7995d3075d163e92f56877aa73e4c2a1a2cd69062db08ec2f9664202e56c52ba4467dcb2aad590af1a1b8ba81ba3e1b9e59c92e9e582f3b03e54eb1c233336782f8383c6c456a22b9b433789b653c7f6eec2a9ab539c57c1a66773fc3c40f3b30fbbfd4232f3f7a4f4c3284b9a35571a4b666019ae9bfb0f364b3d9c3797bc6558e13dc67fd7a8f7a15247e25f3a0f61ba62b06747670560ba947acb5cc75d8c3d72307845b4f50b70d954cc67bccb2fa114e3ee19fd5e2617fe608afab9698f2f946420f6499d1d34f13bf19661e4a83c12838218806499b5d953de82bfac1fbb441e64b202f783a5d51ebdf5d53a71cc1a11530c43a9124c01551fdac0d1500f7fae1d33b84be87c0dffef0767804ad8fd0055835f7d879c6cc14cd6063d47c9e531dd85337a6b7aec79a63865677323cb9c81959279257f1ccb1e0d54553b54fabea3890c575a; CHECKSUM=1746794105; PROGRAM=GMP-ECM 7.0.5-dev; X0=0x0; Y0=0x0; WHO=five@five; TIME=Sat Sep 11 19:29:58 2021;
METHOD=ECM; PARAM=3; SIGMA=1719562500; B1=44000000; N=(2^5903-1)/5739843952029781891776076257968005017555159188445857307935629699893975115559509148055330481835272461192500743279; X=0x1de0c3df4ac5b08e38c439f727edb797b92f5de931739d749595c23b30bf7cb5ab9511e54a725d2b621ed64917fa051370e457b90f94982744699fb415bcff451e5aec55d780d62b1453fc3436300a4c51116633b280b83df2a257442f3c199cc41d350ba35d35b5d74c208c2d07eb73a9a82c88aac291e8b8b97dbbf3c7815ed236ae559ba483c331ca9a2bf2cf3529baec2f7968f49e8ca87ca00d72e6299e46eb9978c6f00e7ae015090e21e0c6b33cd78b691a2ddedd91b84aae1223d674aef4ce693c024d4d7ebbeb2333bcf574e7ec05f67bbb776c514cb700e5e8a2039a15b8b9fb8d38cc1c44903eb8aa5c57410a5fabec0f4682187ac4d18c6f21d38b95e7b4601604873c2af666a82222652ff4f4f0c7edbe35ebd8611881aba81a4f2b06dd9b5e5e3be6cf575bf4a8adbae011e491b15f5e0de205d25283fa0315f1f89868f60bafe49f0eed9fc70d0dd86332ec73d1b4c4dc2da41f1538218f872e3217fc4fe223267241cf767522360f9c9791d65c5035b0d8163b1b869e36aa5a13941d9549e0c94119891025099b89c009ca9e7e29a65b3253c2c9c05004c8d901217cec58ee0fbdd0d77bcf180200a799301902128388bcc4601c844444ddffe477307e1cbda6bf1b59628637d9f5aedd30f67004a549a9bcbc302d0d903b4fc9d04e08e311035fc908f141f77b297fdf9e3f33cd70ae9c5ce1d684b110163932d93934464a192f0fee2bfe5d7c4d2395eebed0db02bbc3766da901594b675ecccfffc06c59b925870b1797fac6bd28f86c0020ed18710b7003a43b30d43c5eb396cf6824e8960e79c476f70119f65ec72c8d5f4cf2550895a037f094ba3e91454c0db29670db3bdd38d200617c3ee915f051a54941086c7bcbc731b333c4b7cfc2b78486403c663ced6f662e7a7ffa5a2d78add53e6fb0883523d00a54c52a0f42dc9877e4009485900b7830608344cda0a; CHECKSUM=2555350758; PROGRAM=GMP-ECM 7.0.5-dev; X0=0x0; Y0=0x0; WHO=five@five; TIME=Sat Sep 11 19:29:58 2021;
METHOD=ECM; PARAM=3; SIGMA=1719562499; B1=44000000; N=(2^5903-1)/5739843952029781891776076257968005017555159188445857307935629699893975115559509148055330481835272461192500743279; X=0x5fa344f705b41002ad9ade507ea50d1f4285c855180406999c05b13eed84e7f3a26bd56d0ecaaeeb01afbbc85dde3d3bd04667c073833c121c63c1385c8fab753927747c37cbd35df252d6a3f7a8d44b55f2db00bcddd053a6535da312af8b4d641202679d8f360af33b38e61dff045de7622b711919d71fb10dc21df4d6c543cb7d329470511c52fad06e87f5967c823b5c9248d6a2290823791028dafa68686515eb95dd7de4cd8f743cc38c80bd51f34c81bf68580086fa3ebf8251495a357b83c811acf7a2dbb273ed7b327a60141f8b1c615455bfaf86b5634e41ae1820f1925b2355351a168a04c7c3e54e8f5168c33c18045e23324f00de099f69c20c33b0feb9dd17bce74421a7bbc01a4c420fa7d324d5dc8078d8e2824fe004a8ef2d8e991561f4bdd474b7b4f89d395fc5cfed062865b29953141517b8ca9238df9c8fcf42ca2cb4af32b8ff0a3fa22621ac727999b94261ebff3ecaf82c0677a7941c3e7b006e8ff5aec83ca965354c4589aff9f5aa599f482f2d7fc9e5ee247b8a90bae4c37ac7b9680bd15ff4f755b3370ea15563f213eaf463c5b05a4b5e20cda1bb1e1e13a40f6f1e15551a327d36100a8548b27586c64e9b7d511ec35978a7b0bc23603a19db24549c452867588665cc2cd61e6ad1c9394fef9fb6bf267d81588e3fb3bb9436b28da4f7e44834bb26aed41ddc2e15b96c7cd30512f2dae5f40f69d8b386ea63ac4c94757d2d5fa30f17f0ff21281d124090e41c72e862780830ec23efb85792667e40baaee3f03fd52d47029bf4f3ce919eeb106132fd4d553a9f71634c5a0f83143b1334761ddd87a0cafe923e6b20133c97c583ac0dfd835a97952790e35a5e83d2272c095b205adcb2f8e536fd7a6ae10f2fe0f5222842c8ccf5a946c38a1e3a2428fba50a65286c5d112108f39d7df1a6c6d6b049ef06ef99e88c91c083a9d6d497c9ca54b4c060add; CHECKSUM=1606862979; PROGRAM=GMP-ECM 7.0.5-dev; X0=0x0; Y0=0x0; WHO=five@five; TIME=Sat Sep 11 19:29:58 2021;
METHOD=ECM; PARAM=3; SIGMA=1719562498; B1=44000000; N=(2^5903-1)/5739843952029781891776076257968005017555159188445857307935629699893975115559509148055330481835272461192500743279; X=0xce5029bc21c091e82fa559ae570a7e8bd42cad52ece84f5499e0bb5d41da312b4a414e18b091314cd4c05a21a35a86e0184d3f5af5deaf02d17ae92b969eb0f3c3524a85bc08c389fcb7ea9db441406becc615fb0099266f46b9979584e71dbbd76fa6a8e5739779ea59a96236de715c083407282e8fb5ac4ceba4aa2f2f202ff4a6eeac13898bd0bea4c64d84cfa2d00963825f5a5c7c3450586326b2d89b281b22dfcf984515c4d6ccc54a94292416b9339c404c95b5a37e15a43888d580d1e88bf2a6095b752b6a3bf4873d78505629c842f184fba31fe1e1da2056927793098e56e4554dc3487876b5abf30ba5dbb504c2dfe30794655209447a7030484295741bcfd913ed80f688a69388d4df330f9022d069793834c8052642ce9b7f9e13518523d8ad27b0ecb4f45443227d39fe7bf22ae469ed8886178b1872dbce2162f46c090cd6de3190511df5c29912a7f77a60f3389ceda888be4b5986a946c67130e0aff918955ec248e2b0eef9eb7d1467611c72fdf16a053aa74bb54f1a5cb32f13df473382f28c259d5e57cee2572fbfc02355561b38f00cfdfd26f730c65fe2cce309a88003df983621ce19d74a0d1dd4f1ed3b9cd7879eb40132b4302b1f38036cb83aa963f2815c38466a03c15406b2f64954e62a9b4622f334cf68c8ec746022d127a88dc58b65dc423b069b8ffac2402c012e3cc14618287eecf7588ed151aaa8f14a1ba3a24375024e3247668cbbb7523327dffe57fa514a8490182ea814cb30a994e337900443bec672bb4111cb4493673c90ce6c3b09e43725944c01e5acf18ae2ebd04b5ab3f9997460c1abe417681636c8ae2d437d784c55fbd8670cefac2539e19ffe7502e5c5ce74106379b166ac5f24d8e646ba7c9a1b5e2d92a4bbefbb1d5f005a80a0b49a98f0d766a22cba5a3c024512f0e8f7a0994d2448b9e80a36f74dbc851bcae1b89859ecc4891; CHECKSUM=3869421299; PROGRAM=GMP-ECM 7.0.5-dev; X0=0x0; Y0=0x0; WHO=five@five; TIME=Sat Sep 11 19:29:58 2021;
METHOD=ECM; PARAM=3; SIGMA=1719562497; B1=44000000; N=(2^5903-1)/5739843952029781891776076257968005017555159188445857307935629699893975115559509148055330481835272461192500743279; X=0xc39ffde5675443b2d07a8f4326cffe5d82301d54d5c76e551373a0c204d665d51770ca035a19762991132caad8690463fcc7f7d4cb60e325c131d7386720b94b5d06deb7e4ec91f3a9ab65e01a5d1893fa9054673ebca82c4c97b92a6385a2a6699b87b33d7d1c49766284a6ef383b6f2166c8adbc3733a554dffa46599172f9fa4a0ff4bb2426c897fc13115f897733167941b2efc9cffb47626c476ed4b80b3068d013137a14c9fe91859502531fd2776ef509f6f32648ebb11d2c19e54bc5b640b5fce7dbb6413fac4df4737d885d8880e16b0bf87c62cb21660c42ec2ea084a322e0b3d76c55386ff6c8a259b9ac5cd47897565e9ebb813f99d41ecd15042170ca4f6b3f1a29581be560580bc431c1ea142711606f58404707c69237b3e6c61df79a808435f9d7241af87ffe31304fee331847e31df4b84c8d55eb88585e0a51e1e7bcfa06220f2baa7cdf41f3b74c9ace1b954b77f6c078c94b630742b10cebfb6b1e39764e0a50877e349363647935fd32163f7be360326714587dce692e24e58e172e8feaeb8bf19bb02f7ad018d91d5b5c8f3e291b2d1accb7f38ab5ac5706fb693739d8050e6ed1e999888ee5d28a7f9129649b7b75d4fcaf3c936c10c912f0bd61518b76214b2f962e95e38ea34881d5e521fe9cf9ea0687d0b96ce02bd51790841fb08c91f4dd15912701c311b5f45b9d0d1674b96cdc5bc6da6eabc1156400a4b06c3c34271f634e4fcf0695ae8b083b7b0a28ea0a693daf16d5cfebe3e2d49dbc0c5e14bf5904af0217f2cb4eb2aa13acc7b9e006d70e2c1d08ca9d7c8ec23f4d334cae834bad673e04ba9ced0fd0ccbacee5be73af1e07923c441ee6cc406beaf9e98f4b5ba20e18d9cabb72b5a5e54da7931b41775e11a38b7e7f7e235e0d4561cfe152495a155a96a5caecf286324e8e5c5a4d15c645b782e69321d8ca2100616cd99abef366e9814506921; CHECKSUM=967096194; PROGRAM=GMP-ECM 7.0.5-dev; X0=0x0; Y0=0x0; WHO=five@five; TIME=Sat Sep 11 19:29:58 2021;
METHOD=ECM; PARAM=3; SIGMA=1719562496; B1=44000000; N=(2^5903-1)/5739843952029781891776076257968005017555159188445857307935629699893975115559509148055330481835272461192500743279; X=0x66a199932c24e0a577264453016487869498c4e32e2d5405d6e9bb45d8d841568ff34e6c94166f7535548ae8bb7a081583bb1f775ca72925a93a3c1576575b5e4b3d63c541958ed4ad9199a83193fc76a184d62590f0bf225f355c71d5dc2e600457f5cf25e84d97828473e3c27a2d5518b38bf9905057f61d8a10e2984714436b615572a37f4e7aa47550c016d90b6f78831dbe291504486726e64d20ce67fe489b088c61fbf5cf13c6f5d642d483086af4e2439ddfd3da688b69312c78ce6c354509d2993f444777b10d335686582cf02029488fb432328184ddf7596db94648c50495f8c1e94ebea9ddd268142b28cb0033b7a3c0e20786ab83ae4a0de28a04d3000f16c390c2cda56a7e33d8e591174d8681f04f761301491bc83fedead048b52dfdbac5c44f90235af6a62e9007fc1c3ef5404bcf808394aa716c8705368143a149a12b17dd50f6e90800c9c6651dc285faeb2c9ec7041941051dc6d60bb9dfcd57a7278702bbf5fbbc0fe2ba40f9085c40b318c89814baade96e1787227a7206abfad228a1cf763c6ff19a9f07b5d2f630288728a1ece272aebb7b1bd2fcc348c85a2bf00992549ee34e39f20b09dfe1b3042acfc1a27da1d046cff99ee1be53d46a9791737f57da12bed9c3da876d338f61bf1b627b660ec4dbebf280935bc17854bdd40f9f4178ade03e4c1b4a3d0b85e6d65d707b1a2ba77bcda13df3d429cbdf8a930e442a33c3963014e92c0b4cdb6930fcfa7e20381ebd7f3cda5eef70ce55b5162474123a793330f33c6b480b8646fd3999c77f3222c8d13766710c77607b06af336f49b57076a39e154ff528529777654b0f168844d9934e3fc5f93739f4eb42961f1cf9c3fbfc310f058499cd9ac206589b5cd3bd0102d571cac738e7c12c5f563168a833f68510ba29d46d5da2fc8dc2a9ca3442ab6152378f55189459b071297d2f8ddc6c246aa1182ad39; CHECKSUM=390550660; PROGRAM=GMP-ECM 7.0.5-dev; X0=0x0; Y0=0x0; WHO=five@five; TIME=Sat Sep 11 19:29:58 2021;
METHOD=ECM; PARAM=3; SIGMA=1719562495; B1=44000000; N=(2^5903-1)/5739843952029781891776076257968005017555159188445857307935629699893975115559509148055330481835272461192500743279; X=0x13aa943f2609717c6b06250c1dcc2a340af692de0ac9fc67a471682d58b92e3326249376e5963af64e854c7e7bb53f6f0fa4649a24e7008f1428a0e51164a7eb66b182eaa62b6436e54fd2ae563a8bf4439aa19515d841208a2b482c1f505dd5c789a7dd0302f2d15551e267dbe228647ab8b75cdee30d97d104f92b118f5f2ac449e06d91b6b2ce41c13a983ebefd2274f776a3da205444d1da9fbf559b7a12c68d7229b25bfb824a636f51a1f0b3c49ad794b8518db6c55f9604f4a939b8a7c0f84537d39d9b10e41e9df483eb1bde0b9ec592666b923994274dbb5a9456e29f45b1d6a0add4a4297c30d163218af6e6123d74b3cb95448196dc8ba186d8e0358cd3a8ffe9dba84c19a6bdc86b81d8ad20408a8fbc90a522d28283fad085ecfc17f1b3b0ca10470df5ea6f31237e81ec618c86377683fb40fdf458590d0fda55c770e4a0ae85e1c35eaa1663337133563def695a0d68cc10b6e3717e46e734b5a302a21e6a8194a5869de3492241c67674e6ee96337c5eed413438daa0be268e6c094fd53f03d4d566d0947b9a0b848d345a13f6bd1fab8d469376e764a3bd15abad5a22c2fd331aa1814a2505bde7793b21a6d40983b0c39d89a2efbe840da4867ea2355506c2824509866a02d024e5576b5f3f49fe2b954c79b718f32bb11a730a3ea4df458088edd109724f0d9373426862ae4736bf2a2ab38a49ce9c9da9069ab4f64f36511ba553f4880b615bee0f8b2bc778ef932d6335f06968d8c891b9ccf2d8f07908d1d33175f47fd63ad2b8a5b23bf2faa255f52e140120db24270cf95f679a59f63805d2f65a87cb0761291978b97c302ecfbba0a5c6e69b854d4bf63dd693536c05967da732742eca776b961d51f737b0e01b7dd5feab5ae600d80fdc6123ad35031e6371a065b0b6029c71bb2407f223612a6d18442d40623889e026e0ff9a94e6d597e164973621fa0f593; CHECKSUM=3327143722; PROGRAM=GMP-ECM 7.0.5-dev; X0=0x0; Y0=0x0; WHO=five@five; TIME=Sat Sep 11 19:29:58 2021;
METHOD=ECM; PARAM=3; SIGMA=1719562494; B1=44000000; N=(2^5903-1)/5739843952029781891776076257968005017555159188445857307935629699893975115559509148055330481835272461192500743279; X=0x28395818de64950e3ebe0489db984a1a34cd42e2a876824e111e636f442d0895ec85b8c0b65788e5f776ac60443de952b8217e97aeea27fd6d2dfff868b70de5cfe90a29494226d25bcb633c27413e2532d9fff7cb214291b6d0e70ae294941f0216e57e6683b422e00d0bd92ef30b16592ae603e5be854947d04f05f5d350e8feea973e242b033f1898e501fc0b7bacba401876b1f6062f2dc8a1f7af82836a960c906adb3a7d52d720e01e351f20ce6c077dc66045f95d4a6ff4d664e0b732326ac1346cd746c305df0e38803e3fdd2ba0e5361701406406e978f32d567009b7a51be478ead56582c2487405ad52bfa8a5bd37e89824196e0e60b0947d21efbfe49b9f6c572293ac6007c2321efd2fa5f0385fb00609cc5ac83772929f87307507bee36374d41369a87d432ba4c537f73840a72b126bce011b9b22645f8746e2eab690e34f948376d46e3960fa2de4b00853b16654ee2ab2a30ecaa8196a258c3e2345bd2adda160085e57aa2da3a490a0d8538f3eb7b2bac92ad09b3b2afcd9bceb0546c1e697b112d749657a455915d6a563d0aa84391e63d9966af3ff82bed27cdd927cb3c26c57e757f0c51ce5bf80de9d46e2d370c75f531eb0311002074655a00f4d4665d45e885f38de62d5d3a37677f43ed843eb5b907787bc5ba57fe7a06a9db4ee4621791d7cf85aa3cdfc8027bde08264af82924a557a7a45e66c0c9bad3b0d85b26b94fe385a637b9adce76ae7ff2c585cf2f15eb4dcf91e452084553d034abbd88f6f8420a3731999256bc4ed02f0f5847fb5a142521ca02aae6bfb9c7e10713a7a45c58a1e3786d14b9471377330908066c97046e02b6f928ff549bb42faaac719c39b2f082f8ff4c836e82898fb1ccf540adac1e9e0f3de3bef327ee5a7d737fa68cb4e8a324fc91f6343c0638d8d4ebf385d70ba2de59c82893f4a86e1afffbd7c6ba8f3d048c5462225c; CHECKSUM=1192583430; PROGRAM=GMP-ECM 7.0.5-dev; X0=0x0; Y0=0x0; WHO=five@five; TIME=Sat Sep 11 19:29:58 2021;
