PM1, Stopping in stage 1 ~20%
[Main thread Dec 7 16:47] Mersenne number primality test program version 30.3
[Main thread Dec 7 16:47] Optimizing for CPU architecture: AMD Zen, L2 cache size: 12x512 KB, L3 cache size: 4x16 MB
[Main thread Dec 7 16:47] Starting worker.
[Work thread Dec 7 16:47] Worker starting
[Work thread Dec 7 16:47] Setting affinity to run worker on CPU core #2
[Work thread Dec 7 16:47] P-1 on M2267 with B1=200000000, B2=20000000000
[Work thread Dec 7 16:47] Using FMA3 FFT length 128
[Work thread Dec 7 16:47] M2267 stage 1 is 0.17% complete. Time: 0.151 sec.
[Work thread Dec 7 16:47] M2267 stage 1 is 0.34% complete. Time: 0.150 sec.
[Work thread Dec 7 16:48] M2267 stage 1 is 0.51% complete. Time: 0.151 sec.
[Work thread Dec 7 16:48] M2267 stage 1 is 0.69% complete. Time: 0.154 sec.
[Work thread Dec 7 16:48] M2267 stage 1 is 0.86% complete. Time: 0.151 sec.
[Work thread Dec 7 16:48] M2267 stage 1 is 1.03% complete. Time: 0.150 sec.
[Work thread Dec 7 16:48] M2267 stage 1 is 1.21% complete. Time: 0.151 sec.
[Work thread Dec 7 16:48] M2267 stage 1 is 1.38% complete. Time: 0.150 sec.
[Work thread Dec 7 16:48] M2267 stage 1 is 1.55% complete. Time: 0.151 sec.
[Work thread Dec 7 16:48] M2267 stage 1 is 1.73% complete. Time: 0.151 sec.
[Work thread Dec 7 16:48] M2267 stage 1 is 1.90% complete. Time: 0.152 sec.
[Work thread Dec 7 16:48] M2267 stage 1 is 2.07% complete. Time: 0.151 sec.
[Work thread Dec 7 16:48] M2267 stage 1 is 2.25% complete. Time: 0.152 sec.
[Work thread Dec 7 16:48] M2267 stage 1 is 2.42% complete. Time: 0.153 sec.
[Work thread Dec 7 16:48] M2267 stage 1 is 2.59% complete. Time: 0.151 sec.
[Work thread Dec 7 16:48] M2267 stage 1 is 2.77% complete. Time: 0.152 sec.
[Work thread Dec 7 16:48] M2267 stage 1 is 2.94% complete. Time: 0.151 sec.
[Work thread Dec 7 16:48] M2267 stage 1 is 3.11% complete. Time: 0.152 sec.
[Work thread Dec 7 16:48] M2267 stage 1 is 3.29% complete. Time: 0.151 sec.
[Work thread Dec 7 16:48] M2267 stage 1 is 3.46% complete. Time: 0.151 sec.
[Work thread Dec 7 16:48] M2267 stage 1 is 3.63% complete. Time: 0.151 sec.
[Work thread Dec 7 16:48] M2267 stage 1 is 3.81% complete. Time: 0.151 sec.
[Work thread Dec 7 16:48] M2267 stage 1 is 3.98% complete. Time: 0.151 sec.
[Work thread Dec 7 16:48] M2267 stage 1 is 4.15% complete. Time: 0.152 sec.
[Work thread Dec 7 16:48] M2267 stage 1 is 4.33% complete. Time: 0.152 sec.
[Work thread Dec 7 16:48] M2267 stage 1 is 4.50% complete. Time: 0.151 sec.
[Work thread Dec 7 16:48] M2267 stage 1 is 4.67% complete. Time: 0.150 sec.
[Work thread Dec 7 16:48] M2267 stage 1 is 4.85% complete. Time: 0.151 sec.
[Work thread Dec 7 16:48] M2267 stage 1 is 5.02% complete. Time: 0.151 sec.
[Work thread Dec 7 16:48] M2267 stage 1 is 5.19% complete. Time: 0.152 sec.
[Work thread Dec 7 16:48] M2267 stage 1 is 5.37% complete. Time: 0.151 sec.
[Work thread Dec 7 16:48] M2267 stage 1 is 5.54% complete. Time: 0.151 sec.
[Work thread Dec 7 16:48] M2267 stage 1 is 5.71% complete. Time: 0.153 sec.
[Work thread Dec 7 16:48] M2267 stage 1 is 5.89% complete. Time: 0.152 sec.
[Work thread Dec 7 16:48] M2267 stage 1 is 6.06% complete. Time: 0.152 sec.
[Work thread Dec 7 16:48] M2267 stage 1 is 6.23% complete. Time: 0.151 sec.
[Work thread Dec 7 16:48] M2267 stage 1 is 6.41% complete. Time: 0.150 sec.
[Work thread Dec 7 16:48] M2267 stage 1 is 6.58% complete. Time: 0.151 sec.
[Work thread Dec 7 16:48] M2267 stage 1 is 6.75% complete. Time: 0.151 sec.
[Work thread Dec 7 16:48] M2267 stage 1 is 6.93% complete. Time: 0.151 sec.
[Work thread Dec 7 16:48] M2267 stage 1 is 7.10% complete. Time: 0.152 sec.
[Work thread Dec 7 16:48] M2267 stage 1 is 7.27% complete. Time: 0.157 sec.
[Work thread Dec 7 16:48] M2267 stage 1 is 7.45% complete. Time: 0.155 sec.
[Work thread Dec 7 16:48] M2267 stage 1 is 7.62% complete. Time: 0.158 sec.
[Work thread Dec 7 16:48] M2267 stage 1 is 7.79% complete. Time: 0.160 sec.
[Work thread Dec 7 16:48] M2267 stage 1 is 7.96% complete. Time: 0.155 sec.
[Work thread Dec 7 16:48] M2267 stage 1 is 8.14% complete. Time: 0.157 sec.
[Work thread Dec 7 16:48] M2267 stage 1 is 8.31% complete. Time: 0.155 sec.
[Work thread Dec 7 16:48] M2267 stage 1 is 8.48% complete. Time: 0.153 sec.
[Work thread Dec 7 16:48] M2267 stage 1 is 8.66% complete. Time: 0.152 sec.
[Work thread Dec 7 16:48] M2267 stage 1 is 8.83% complete. Time: 0.152 sec.
[Work thread Dec 7 16:48] M2267 stage 1 is 9.00% complete. Time: 0.152 sec.
[Work thread Dec 7 16:48] M2267 stage 1 is 9.18% complete. Time: 0.152 sec.
[Work thread Dec 7 16:48] M2267 stage 1 is 9.35% complete. Time: 0.152 sec.
[Work thread Dec 7 16:48] M2267 stage 1 is 9.52% complete. Time: 0.152 sec.
[Work thread Dec 7 16:48] M2267 stage 1 is 9.70% complete. Time: 0.152 sec.
[Work thread Dec 7 16:48] M2267 stage 1 is 9.87% complete. Time: 0.152 sec.
[Work thread Dec 7 16:48] M2267 stage 1 is 10.04% complete. Time: 0.152 sec.
[Work thread Dec 7 16:48] M2267 stage 1 is 10.22% complete. Time: 0.152 sec.
[Work thread Dec 7 16:48] M2267 stage 1 is 10.39% complete. Time: 0.152 sec.
[Work thread Dec 7 16:48] M2267 stage 1 is 10.56% complete. Time: 0.152 sec.
[Work thread Dec 7 16:48] M2267 stage 1 is 10.74% complete. Time: 0.152 sec.
[Work thread Dec 7 16:48] M2267 stage 1 is 10.91% complete. Time: 0.152 sec.
[Work thread Dec 7 16:48] M2267 stage 1 is 11.08% complete. Time: 0.152 sec.
[Work thread Dec 7 16:48] M2267 stage 1 is 11.26% complete. Time: 0.152 sec.
[Work thread Dec 7 16:48] M2267 stage 1 is 11.43% complete. Time: 0.152 sec.
[Work thread Dec 7 16:48] M2267 stage 1 is 11.60% complete. Time: 0.152 sec.
[Work thread Dec 7 16:48] M2267 stage 1 is 11.78% complete. Time: 0.151 sec.
[Work thread Dec 7 16:48] M2267 stage 1 is 11.95% complete. Time: 0.152 sec.
[Work thread Dec 7 16:48] M2267 stage 1 is 12.12% complete. Time: 0.151 sec.
[Work thread Dec 7 16:48] M2267 stage 1 is 12.30% complete. Time: 0.151 sec.
[Work thread Dec 7 16:48] M2267 stage 1 is 12.47% complete. Time: 0.152 sec.
[Work thread Dec 7 16:48] M2267 stage 1 is 12.64% complete. Time: 0.155 sec.
[Work thread Dec 7 16:48] M2267 stage 1 is 12.82% complete. Time: 0.152 sec.
[Work thread Dec 7 16:48] M2267 stage 1 is 12.99% complete. Time: 0.152 sec.
[Work thread Dec 7 16:48] M2267 stage 1 is 13.16% complete. Time: 0.152 sec.
[Work thread Dec 7 16:48] M2267 stage 1 is 13.34% complete. Time: 0.152 sec.
[Work thread Dec 7 16:48] M2267 stage 1 is 13.51% complete. Time: 0.152 sec.
[Work thread Dec 7 16:48] M2267 stage 1 is 13.68% complete. Time: 0.153 sec.
[Work thread Dec 7 16:48] M2267 stage 1 is 13.86% complete. Time: 0.152 sec.
[Work thread Dec 7 16:48] M2267 stage 1 is 14.03% complete. Time: 0.152 sec.
[Work thread Dec 7 16:48] M2267 stage 1 is 14.20% complete. Time: 0.152 sec.
[Work thread Dec 7 16:48] M2267 stage 1 is 14.38% complete. Time: 0.153 sec.
[Work thread Dec 7 16:48] M2267 stage 1 is 14.55% complete. Time: 0.151 sec.
[Work thread Dec 7 16:48] M2267 stage 1 is 14.72% complete. Time: 0.152 sec.
[Work thread Dec 7 16:48] M2267 stage 1 is 14.90% complete. Time: 0.152 sec.
[Work thread Dec 7 16:48] M2267 stage 1 is 15.07% complete. Time: 0.152 sec.
[Work thread Dec 7 16:48] M2267 stage 1 is 15.24% complete. Time: 0.152 sec.
[Work thread Dec 7 16:48] M2267 stage 1 is 15.41% complete. Time: 0.152 sec.
[Work thread Dec 7 16:48] M2267 stage 1 is 15.59% complete. Time: 0.152 sec.
[Work thread Dec 7 16:48] M2267 stage 1 is 15.76% complete. Time: 0.152 sec.
[Work thread Dec 7 16:48] M2267 stage 1 is 15.93% complete. Time: 0.152 sec.
[Work thread Dec 7 16:48] M2267 stage 1 is 16.11% complete. Time: 0.153 sec.
[Work thread Dec 7 16:48] M2267 stage 1 is 16.28% complete. Time: 0.152 sec.
[Work thread Dec 7 16:48] M2267 stage 1 is 16.45% complete. Time: 0.153 sec.
[Work thread Dec 7 16:48] M2267 stage 1 is 16.63% complete. Time: 0.152 sec.
[Work thread Dec 7 16:48] M2267 stage 1 is 16.80% complete. Time: 0.152 sec.
[Work thread Dec 7 16:48] M2267 stage 1 is 16.97% complete. Time: 0.152 sec.
[Work thread Dec 7 16:48] M2267 stage 1 is 17.15% complete. Time: 0.152 sec.
[Work thread Dec 7 16:48] M2267 stage 1 is 17.32% complete. Time: 0.152 sec.
[Work thread Dec 7 16:48] M2267 stage 1 is 17.49% complete. Time: 0.152 sec.
[Work thread Dec 7 16:48] M2267 stage 1 is 17.67% complete. Time: 0.153 sec.
[Work thread Dec 7 16:48] M2267 stage 1 is 17.84% complete. Time: 0.153 sec.
[Work thread Dec 7 16:48] M2267 stage 1 is 18.01% complete. Time: 0.152 sec.
[Work thread Dec 7 16:48] M2267 stage 1 is 18.19% complete. Time: 0.152 sec.
[Work thread Dec 7 16:48] M2267 stage 1 is 18.36% complete. Time: 0.152 sec.
